clueId,suspectId,time,summary
凯 - 1,SUSPECT_KAI,0:05,凯在义体诊所里修理设备
,,1:05,
凯 - 2,SUSPECT_KAI,2:05,凯动身前往机房
,,3:05,
凯 - 3,SUSPECT_KAI,4:05,凯在机房进行维护
,,5:05,
凯 - 4,SUSPECT_KAI,6:05,凯动身前往诊所
,,7:05,
凯 - 5,SUSPECT_KAI,8:05,凯在义体诊所内修理设备
,,9:05,
凯 - 6,SUSPECT_KAI,10:05,维修设备过程中，系统被病毒感染，凯尝试调取后台数据
,,11:05,
凯 - 7,SUSPECT_KAI,12:05,杰斯来到诊所与凯对话。
,,13:05,
凯 - 8 - B,SUSPECT_KAI,14:05,凯按照杰斯要求，准备着手编写杀毒程序、尝试关闭全域网，并推测攻击酒吧的黑客就在不久前进入了机房
,,15:05,
凯 - 9,SUSPECT_KAI,16:05,凯上载自己的杀毒程序，并前往VIP室查看情况
,,17:05,
凯 - 10,SUSPECT_KAI,18:05,凯到达VIP室门口，遇见贤司
,,19:05,
凯 - 11 - B,SUSPECT_KAI,20:05,凯受到贤司阻拦，无法进入VIP室，但得知VIP室内的是沃克。电力恢复，接到杰斯消息，得知投放病毒的是贤司
,,21:05,
凯 - 12,SUSPECT_KAI,22:05,凯意图亲自进入VIP室刺杀沃克，但被贤司阻拦，随后接到杰斯的电话
,,23:05,
凯 - 13 - B,SUSPECT_KAI,0:05,凯得知维修通道的存在，挂断电话并准备前往维修通道
,,1:05,
杰斯 - 14 - B,SUSPECT_KAI,2:05,杰斯告知凯维修通道的存在，但其实杰斯后台应该可以直接查询VIP室内的情况
,,3:05,
凯 - 14,SUSPECT_KAI,4:05,凯完成调查，发现维修通道已经损坏，自己无法钻入，但可以注意到法拉第笼一切正常，随后前往厕所
,,5:05,
凯 - 15,SUSPECT_KAI,6:05,凯路过大卡座 - A，与科尔对话，随后继续前往厕所
,,7:05,
凯 - 16,SUSPECT_KAI,8:05,凯在厕所内写入了攻击程序，并下载了病毒拷贝。但是还缺少密钥
,,9:05,
凯 - 17,SUSPECT_KAI,10:05,凯动身前往义体诊所
,,11:05,
凯 - 18,SUSPECT_KAI,12:05,凯将随身的工具与储存器放在桌上，随后前去吧台
,,13:05,
凯 - 19,SUSPECT_KAI,14:05,凯与艾拉在吧台处对话
,,15:05,
凯 - 20,SUSPECT_KAI,16:05,凯得知艾拉的悲惨故事，监控注意到主角正在自己的诊所内搜索，嘱咐艾拉一定要带上自己留在诊所的储存器
,,17:05,
凯 - 21,SUSPECT_KAI,18:05,凯接到杰斯消息，得知沃克被害
,,19:05,
凯 - 22,SUSPECT_KAI,20:05,凯动身前往通道
,,21:05,
凯 - 23,SUSPECT_KAI,22:05,凯破坏通道以抹除痕迹
,,23:05,
杰斯 - 1,SUSPECT_JIESI,0:05:00,杰斯在吧台调酒，随后前往大卡座 - A
,,1:05:00,
杰斯 - 2,SUSPECT_JIESI,2:05:00,在前往大卡座 - A的路上，杰斯听见某两人在对话
,,3:05:00,
杰斯 - 3,SUSPECT_JIESI,4:05:00,隔壁有一男一女意图刺杀沃克，但杰斯声称自己没有完全听清。
,,5:05:00,
艾拉 - 2 - A,SUSPECT_JIESI,6:05:00,艾拉与某个未知的男人意图刺杀沃克
,,7:05:00,
杰斯 - 4,SUSPECT_JIESI,8:05:00,杰斯来到大卡座 - A，见到艾拉独自一人
,,9:05:00,
杰斯 - 5,SUSPECT_JIESI,10:05:00,杰斯与艾拉讨论沃克的到来，提及了法拉第笼的系统漏洞，随后起身离开
,,11:05:00,
艾拉 - 5 - A,SUSPECT_JIESI,12:05:00,艾拉早就知道沃克的行踪，从与杰斯的对话中得知法拉第笼的系统漏洞
,,13:05:00,
杰斯 - 6,SUSPECT_JIESI,14:05:00,杰斯回到吧台，不久电话响起
,,15:05:00,
杰斯 - 7,SUSPECT_JIESI,16:05:00,杰斯与某人密谋某事，提及到凯的“背叛”，以及公司强硬派对某人的不明态度，随后酒吧断电
,,17:05:00,
杰斯 - 8,SUSPECT_JIESI,18:05:00,杰斯前往义体诊所寻找凯
,,19:05:00,
杰斯 - 9,SUSPECT_JIESI,20:05:00,杰斯指派凯控制局势，随后杰斯前往机房查询后台操作记录
,,21:05:00,
凯 - 8 - A,SUSPECT_JIESI,22:05:00,凯按照杰斯要求，准备着手应对攻击、修复系统
,,23:05:00,
杰斯 - 10,SUSPECT_JIESI,0:05:00,杰斯来到机房进行调查，发现投放病毒的是贤司
,,1:05:00,
杰斯 - 11,SUSPECT_JIESI,2:05:00,杰斯删除了这一记录，并将这一发现告知凯
,,3:05:00,
凯 - 11 - A,SUSPECT_JIESI,4:05:00,凯从杰斯处得知投放病毒的是贤司
,,5:05:00,
杰斯 - 12,SUSPECT_JIESI,6:05:00,病毒被暂时抑制，电力恢复
,,7:05:00,
杰斯 - 13,SUSPECT_JIESI,8:05:00,杰斯接到凯的电话
,,9:05:00,
杰斯 - 14 - A,SUSPECT_JIESI,10:05:00,门口传来细细簌簌的声音，杰斯告知凯维修通道的存在。
,,11:05:00,
凯 - 12 - A,SUSPECT_JIESI,12:05:00,凯得知维修通道的存在
,,13:05:00,
杰斯 - 15,SUSPECT_JIESI,14:05:00,杰斯注意到艾拉在跟踪凯
,,15:05:00,
杰斯 - 16,SUSPECT_JIESI,16:05:00,杰斯继续在后台检查数据
,,17:05:00,
杰斯 - 17,SUSPECT_JIESI,18:05:00,监控显示有人正对法拉第笼做手脚，但杰斯声称自己把人影认作了凯。
,,19:05:00,
杰斯 - 18,SUSPECT_JIESI,20:05:00,杰斯关闭了酒吧的监控摄像系统
,,21:05:00,
杰斯 - 19,SUSPECT_JIESI,22:05:00,杰斯给凯发消息，通知其处理现场
,,,
艾拉 - 1,SUSPECT_JIESI,23:05:00,艾拉在大卡座 - A，与科尔对话
,,0:05:00,
