Knot,角色,对话内容
对话1,艾拉,这杯尝起来不错——或许过会儿我该找杰斯续上一杯。
,,
对话1,科尔,别告诉我你约这次见面只是为了喝酒——喝的还是这种最烂大街的鸡尾酒。
,,
对话1,艾拉,啧，我可不是某些成天抱着威士忌酒桶纯饮的酒鬼......而且，这次我带来了一个你一定感兴趣的消息。
,,
对话1,科尔,什么意思？
,,
对话1,艾拉,这家酒吧，你知道是什么来头吗？
,,
对话1,科尔,新洛杉矶广为人知的地下酒吧——“离线”，嗯哼？
,,
对话1,科尔,每个NLAPD新警员的噩梦，每周固定产出两位数的尸体，还有至少一次枪击或者人质劫持，简直是因公殉职的好地方。
,,
对话1,科尔,此外，他们家酒品一般，来这的顾客一半是冲着杰斯·莱利的姿色，一半是冲着那只法拉第笼。
,,
对话1,艾拉,没错，我们就是奔着那只法拉第笼来的。
,,
对话1,科尔,你要打什么主意？知道为什么这座酒吧还没被赛博疯子炸上天吗？
,,
对话1,科尔,雇佣兵头子松野贤司和义体医生凯·默瑟，一个拳头硬，一个技术硬，随便挑一个出来都是暴恐机动队级别的角色，你想大摇大摆黑进这座酒吧核心中的核心？门都没有！
,,
对话1,艾拉,听我说完，科尔，你知道今天法拉第笼被谁预约了吗？
,,
对话1,科尔,我不在乎。毕竟我们根本不可能碰到法拉第笼，这样的讨论完全......
,,
对话1,艾拉,是沃克预约的——卡伦・沃克。
,,
对话1,科尔,......
,,
对话1,艾拉,怎么样？
,,
对话1,科尔,他来这里做什么？嫌公司惹的麻烦还不够多？
,,
对话1,艾拉,据线人的小道消息说，沃克被人追杀了。
,,
对话1,艾拉,确切的说，是正被公司追杀，要不然也不会找雇佣兵当保镖了。
,,
对话1,科尔,我不知道这家伙在公司里也这么狗见狗嫌。
,,
对话1,艾拉,不，不，据说这家伙有一些不干净的一手消息，奈特城那帮日本人想从他这里买走这些危险情报，这家伙松口了，于是就落得了这个境地。
,,
对话1,艾拉,你也知道这家酒吧是新洛杉矶为数不多不会被公司监视的地方了，
,,
对话1,艾拉,鬼知道他借法拉第笼来做什么，但不论怎样都是为了救自己的小命......
,,
对话1,艾拉,......所以怎么样，你要加入吗？
,,
对话1,科尔,加入什么？你要......噢，见鬼！快把那东西还给我！
,,
对话1,艾拉,嘿！这可是我凭本事偷的！黑墙后的野生AI，嗯哼？
,,
对话1,科尔,你根本不知道你手里的是什么，网监烧掉了一打黑客的脑袋才控制住它，这玩意简直就是个电子炸弹！
,,
对话1,艾拉,没错，正是如此——我们要用它把法拉第笼炸上天去......或者至少把沃克的脑袋炸成浆糊。
,,
对话1,科尔,天哪，你要用这东西杀了他？
,,
对话1,艾拉,最后问你一次——要一起吗？
,,
对话1,科尔,......
,,
对话1,科尔,......告诉我你有计划了。
,,
对话1,艾拉,事实上，还没有。
,,
对话1,科尔,那我们怎么解决他？撂倒那个牛一样壮的保镖，然后进去捅沃克一刀？
,,
对话1,艾拉,至少我们可以找找机会，总会有其他方法，只要不暴露，不成功也没什么损失。
,,
对话1,科尔,见鬼的......下次再别这样毫无铺垫地让我帮你......杀人，明白吗？
,,
对话1,艾拉,别装得那么高尚了，在新洛杉矶干你这行，恐怕也沾了不少人命吧？
,,
对话1,艾拉,再说，你应该比我还想这么做，不是吗？
,,
对话1,科尔,......
,,
对话1,科尔,......天哪，我得去抽根烟缓缓。
,,
对话1,艾拉,去吧，一会回来我们接着聊
,,
对话1-1,未知的女声,没错，正是如此——我们要用它把法拉第笼炸上天去......或者至少把沃克的脑袋炸成浆糊。
,,
对话1-1,未知的男声,天哪，你要用这东西杀了他？
,,
对话1-1,未知的女声,最后问你一次——要一起吗？
,,
对话1-1,未知的男声,......
,,
对话1-1,未知的男声,......告诉我你有计划了。
,,
对话1-1,未知的女声,事实上，还没有。
,,
对话1-1,未知的男声,那我们怎么解决他？撂倒那个牛一样壮的保镖，然后进去捅沃克一刀？
,,
对话1-1,未知的女声,至少我们可以找找机会，只要不暴露，没有成功也没什么损失。
,,
对话1-1,未知的男声,见鬼的......下次再别这样毫无铺垫地让我帮你......杀人，明白吗？
,,
对话1-1,未知的女声,别装得那么高尚了，在新洛杉矶干你这行，恐怕也沾了不少人命吧？
,,
对话1-1,未知的女声,再说，你应该比我还想这么做，不是吗？
,,
对话1-1,未知的男声,......
,,
对话1-1,未知的男声,......天哪，我得去抽根烟缓缓。
,,
对话1-1,未知的女声,去吧，一会回来我们接着聊
,,
